
Wikipedia: 低水準言語,低水準言語（low-level programming language: ていすいじゅんげんご、低級言語とも）は、コンピュータ用のプログラミング言語のうち、機械語ないし機械語に近いアセンブリ言語などの言語の総称である。システムの階層構造を考えた場合に、ハードウェア寄りに位置する低レイヤ（低水準）の言語という意味である。
Wikipedia: イーサネット,イーサネット (Ethernet) はコンピューターネットワークの規格の1つ。世界中のオフィスや家庭で一般的に使用されている有線のLAN (Local Area Network) で最も使用されている技術規格で、OSI参照モデルの下位2つの層である物理層とデータリンク層に関して規定している。
Wikipedia: トランジスタ,トランジスタ（）とは、電子回路において、信号を増幅またはスイッチングすることができる半導体素子である。
Wikipedia: ブリッジ (ネットワーク機器),ブリッジは、OSI参照モデルのデータリンク層（レイヤ2）の情報を基にフレームの送信ポートを決定し転送するコンピュータネットワーク機器である。
Wikipedia: スイッチングハブ,スイッチングハブ (switching hub) とは、コンピュータネットワークにおいて、複数の装置同士が相互に通信できるよう接続し、通信の中継をおこなう集線装置の一種である。
Wikipedia: 電機子チョッパ制御,電機子チョッパ制御（でんきしチョッパせいぎょ）とは、鉄道車両において、直流電動機の制御を行う方式の一つで、直流電圧を高速度でスイッチングして切り刻む（チョップする）「チョッパ回路」を主回路（主電動機の電機子回路）に接続して電圧制御を行うもので、主回路チョッパ制御といわれることもある。単にチョッパ制御、もしくはサイリスタチョッパ制御というと、通常この方式をいう場合が多い。チョッパ回路、採用車両についてはチョッパ制御の項を参照のこと。なお、電機子電流と界磁電流を独立して制御する方式を、「高周波分巻チョッパ制御」（4象限チョッパ制御）と区別する場合もある。本項ではそれについても解説する。
Wikipedia: 終端抵抗,thumb|right|[[10メガビット・イーサネット|10BASE2用のケーブル終端抵抗]]
Wikipedia: CSMA/CD,CSMA/CD（Carrier Sense Multiple Access/Collision Detection 、搬送波感知多重アクセス/衝突検出e-words「CSMA-CD」 2016/9/29閲覧）は、主にイーサーネットにおいて採用されている多元接続の方式である。
Wikipedia: Mobile IP,Mobile IP(モバイル アイピー)は、通信機器(ノード)が実際につながっているネットワークに関わらず、いつでも一意のIPアドレスで接続（アクセス）できるようにするプロトコルである。ISOのOSI参照モデルではネットワーク層（レイヤ3）にあたる。
Wikipedia: レイヤ3スイッチ,レイヤ3スイッチ（L3スイッチ）とは、コンピュータネットワークの構成機器で、主にLANの中核を構成する機器。OSI参照モデルにおけるネットワーク層（レイヤ3）データの転送処理を主な機能とする。
Wikipedia: データリンク層,データリンク層（データリンクそう、あるいは、データリンクレイヤ＝Data Link Layer）とは、コンピューターの通信プロトコルのひとつであるデータリンクプロトコルを、プロトコルスタックの階層モデルにおける層（レイヤ）に対応させたものである。
Wikipedia: 広域イーサネット,広域イーサネット（こういきイーサネット、Wide Area Ethernet）は、地理的に離れたLAN間などをイーサネットインターフェースで接続する技術もしくは電気通信役務である。
Wikipedia: Extensible Authentication Protocol,Extensible Authentication Protocol（拡張認証プロトコル：EAP：イーエーピー，イープ）は認証プロトコルの一つであり、各種の拡張認証方式を利用するための手続きをまとめたものである。主にPPPやイーサネットなどのデータリンク層での認証に利用される。
Wikipedia: トンネリング,ネットワーク技術におけるトンネリングとは、インターネット等のなんらかのネットワークで接続されている、物理的、または、論理的に離れた2点間を、仮想の回線（トンネル）によりあたかも同一点であるかのように扱えるようにすることである。何らかの通信プロトコルを含むパケット等の全体を、別のレイヤ、あるいは同一のレイヤのプロトコルのデータ（ペイロード）に埋込んで通信するカプセル化(encapsulation) により実現されることが多く、通信したいプロトコルそのままでは通信することが不可能な場合などに利用される。
Wikipedia: プラズマアドレス液晶,プラズマアドレス液晶（プラズマアドレスえきしょう、plasma address liquid crystal）とは、スイッチング動作にトランジスタの代わりにプラズマを利用した液晶である。どちらかと言えば、昔の光書き込み式の液晶に近い。
Wikipedia: Power over Ethernet,Power over Ethernet (PoE) は、イーサネットの配線で利用されるカテゴリ5以上のUTPケーブル（より対線）を通じて電力を供給する技術。
Wikipedia: スイッチング電源,スイッチング電源（スイッチングでんげん、英語：switched-mode power supply、略称：SMPS）あるいはスイッチング方式直流安定化電源とは、スイッチングトランジスタなどを用い、フィードバック回路によって半導体スイッチ素子のオン・オフ時間比率（デューティ比）をコントロールする事により出力を安定化させる電源装置である。スイッチング式直流安定化電源とも呼ぶ。
Wikipedia: ネミック・ラムダ,ネミック・ラムダ株式会社(NEMIC-LAMBDA)は、電源コンバータ、スイッチング電源とその周辺機器の開発、製造、販売を主な業務としていた日本の企業。
Wikipedia: レイヤ4スイッチ,レイヤ4スイッチ（L4スイッチ）は、ネットワーク機器の一種。
Wikipedia: TFT液晶,TFT液晶 (thin-film-transistor liquid-crystal display) また薄膜トランジスタ液晶は薄膜トランジスタをスイッチング素子として使用する表示素子であり、液晶ディスプレイや薄型テレビに幅広く使用される。
Wikipedia: レイヤー (DTP),レイヤー (Layer) とは、グラフィックソフトウェアなどに搭載されている、画像をセル画のように重ねて使うことができる機能のことである。レイヤとも呼ばれる。日本語では層、重ね合わせの意味である。Adobe PhotoshopやPainterなどの商用ソフトだけではなく、フリーのグラフィックソフトウェア（GIMPなど）にも搭載されているものがある。
Wikipedia: モノレイヤ,モノレイヤ（ML）とは、『結晶表面の上にどれだけの吸着物が吸着したか』を表す指標の一つで、大まかに言うと『理想表面の原子数と、吸着原子の数の比』のことである。単位は[ML]である。
Wikipedia: オンチップ・エミュレータ,オンチップ・エミュレータ（）は、基板上にマイクロプロセッサを実装した状態 (on-chip) でプログラムのデバッグを行うことのできる装置の総称で、主に組み込みシステムでのプログラム開発に使用する。ターゲットとなる基板とエミュレータ・ユニットをデバッグ用のインタフェースで接続し、さらにそのユニットとホストとなるパソコンをUSBやイーサネットなどで接続する形態が一般的である。
Wikipedia: イーサネット・クロスオーバー・ケーブル,イーサネット・クロスオーバー・ケーブル（英文表記:Ethernet crossover cable）とは、通常のイーサネット用ツイストペアケーブル（ストレート・ケーブル）の両端には、MDI 機器と MDI-X 機器を接続するところ、両端とも MDI もしくは MDI-X の機器を接続できるように結線されたケーブルである。10BASE-T、100BASE-TXが主流の時代は一方の終端をT568Aで結線し、他方をT568Bで結線することが一般的であった。
Wikipedia: XCF,XCF（eXperimental Computing Facility）ファイル形式は、GIMP画像編集プログラムのネイティブな画像形式である。各レイヤ、現在の選択、チャネル、透明度、パスおよびガイドの保存をサポートする。
Wikipedia: 10ギガビット・イーサネット,10ギガビット・イーサネット (10 gigabit Ethernet、10GE、10GbE、10 GigE) はコンピュータネットワーク を構築する通信規格の1つ。イーサネットの中でLAN、WAN、MANに比較的用いられるプロトコルの1つである。
Wikipedia: 仮想ハブ,仮想ハブ（かそうハブ）は、ソフトウェアによる仮想化技術を用いて、一般的なスイッチングハブなどのネットワーク機器をエミュレーションする仕組みや、その仕組みによって実装されたソフトウェアのことを示す。
Wikipedia: 10メガビット・イーサネット,10メガビット・イーサネットは、10Mbpsの転送速度に対応したイーサネットである。
Wikipedia: 100メガビット・イーサネット,100メガビット・イーサネット（ファストイーサネットまたはファーストイーサネット、Fast Ethernet）は、100Mbpsの転送速度のイーサネット。ツイストペアケーブルを使用する場合、セグメント長は100m、光ケーブルを使用する場合セグメント長は412mで、リピータ・ハブ段数は2段までとなっている。
Wikipedia: ギガビット・イーサネット,ギガビット・イーサネットは、1ギガビット/秒の仕様のイーサネットの規格。「GbE」と表記される事もある。
Wikipedia: ATA over Ethernet,ATA over Ethernet（ATAoE、AoE）は、Brantley Coile Companyが開発した通信プロトコル]であり、[[Advanced Technology Attachment|ATAストレージ装置にイーサネット経由でアクセスするもの。ストレージエリアネットワーク（SAN）を低価格の標準技術を使って構築できる。
Wikipedia: PHP Data Object,PHP Data Object (PDO) とはPHPに拡張モジュールとして標準で提供されているデータベース抽象化レイヤであり、各種データベース(DBMS、RDBMS)への接続を抽象化する。
Wikipedia: ALOHAnet,ALOHAnet または ALOHA は、ハワイ大学が開発した先駆的コンピュータネットワークシステム。1970年に開発された。この技術自体は既に使われておらず、歴史的存在となっているが、その中核となるコンセプトはイーサネットの基盤となった。
