
Wikipedia: プロセス間通信,プロセス間通信（IPC、）はコンピュータの動作において、複数プロセス（の複数スレッド）間でデータをやりとりする仕組み。通信プロセスは、同一コンピュータ内で帰結するローカル、ネットワーク接続された別のコンピュータと相互にリモート、などのほかに多様な観点で分類され、スレッド間の通信帯域幅とレイテンシや扱うデータの種類も多種多様である。
Wikipedia: チャット,チャット (chat) とは、インターネットを含むコンピュータネットワーク上のデータ通信回線を利用したリアルタイムコミュニケーションのこと。chatは英語での雑談のことであり、ネットワーク上のチャットも雑談同様に会話を楽しむための手段である。
Wikipedia: Javaアプレット,Javaアプレット（Java Applet）は、ネットワークを通してWebブラウザに読み込まれ実行されるJavaのアプリケーションの一形態。Java 10まではJava Runtime Environmentに搭載されていて、Java 9より非推奨になり、Java 11で廃止Java Client Roadmap Update - An Oracle White Paper March 2018。
Wikipedia: インターネットコミュニティ,インターネットコミュニティは、WWW（ワールド ワイド ウェブ）等のインターネットのアプリケーションを通じて共通の関心分野、価値観や目的を持った利用者が集まって持続的に相互作用する場であり、提供されるネットワークサービスの総称。
Wikipedia: ネットワーク,ネットワーク (英:network)
Wikipedia: Local Area Network,Local Area Network（ローカル・エリア・ネットワーク）とは、広くても一施設内程度の規模で用いられるコンピュータネットワークのこと。その頭文字をつづったLAN（ラン）と書かれる場合も多い。
Wikipedia: Internet Protocol,Internet Protocol （インターネット・プロトコル、IP） とは、インターネット・プロトコル・スイートを使ったインターネットワークにおいてデータグラム（またはパケット）を中継するのに使われる主要な通信プロトコルである。
Wikipedia: Network News Transfer Protocol,Network News Transfer Protocol（ネットワーク ニュース トランスファー プロトコル、NNTP）は、インターネットアプリケーションプロトコルのひとつである。おもに、ネットニュース (Usenet) の記事を読むことと記事を投稿することのために使われる。
Wikipedia: コンピュータセキュリティ,コンピュータセキュリティ(英語：Computer Security)は、情報セキュリティの一部で、コンピュータシステムを災害、誤用および不正アクセスなどから守ることである。また、ハードウェア、ソフトウェア、データ、ネットワークのいずれについてもその機密性、完全性、可用性を維持することである。
Wikipedia: 分散コンピューティング,分散コンピューティング（ぶんさんコンピューティング、）とは、プログラムの個々の部分が同時並行的に複数のコンピュータ上で実行され、各々がネットワークを介して互いに通信を行いながら全体として処理が進行する計算手法のことである。複雑な計算などをネットワークを介して複数のコンピュータを利用して行うことで、一台のコンピュータで計算するよりスループットを上げようとする取り組み、またはそれを実現する為の仕組みである。分散処理（ぶんさんしょり）ともいう。並列コンピューティングの一形態に分類されるが、一般に並列コンピューティングと言えば、同時並行に実行する主体は同じコンピュータシステム内のCPU群である。ただし、どちらもプログラムの分割（同時に実行できる部分にプログラムを分けること）が必須である�
